"#","Question","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"11","What is the primary advantage of using 'StringBuffer' over 'String' when performing multiple modifications?","StringBuffer objects use less memory for small, fixed strings.","StringBuffer is immutable, ensuring data security across methods.","StringBuffer is mutable, allowing modifications without creating multiple new object instances.","StringBuffer is faster because it is not synchronized.","C. StringBuffer is mutable, allowing modifications without creating multiple new object instances.","Modifying a String creates a new object every time, whereas StringBuffer modifies the existing buffer, improving efficiency."
"12","When creating an ArrayList, what does the 'Diamond Operator' <> signify (introduced in Java 7)?","It indicates that the list can hold any type of object, including primitives.","It allows the compiler to infer the generic type from the left side of the assignment.","It is a special bitwise operator used to sort the list upon initialization.","It marks the ArrayList as 'final', meaning its size cannot be changed later.","B. It allows the compiler to infer the generic type from the left side of the assignment.","The diamond operator removes redundancy by letting the compiler determine the type from the variable declaration."
"13","How does a 'HashSet' handle duplicate elements that are added to the collection?","It throws an 'IllegalArgumentException' if a duplicate is detected.","It keeps only unique elements and does not allow duplicate entries.","It stores duplicates at the end of the internal array to preserve history.","It replaces the existing element with the new one regardless of equality.","B. It keeps only unique elements and does not allow duplicate entries.","The core property of a HashSet is that it stores only unique values; duplicates are effectively filtered out."
"14","In a HashMap, what is the relationship between 'keys' and 'values'?","Values must be unique, while keys can be duplicated.","Keys must be unique identifiers mapped to specific values, which can be duplicated.","Both keys and values must be unique and from the same data type.","Keys are stored in a linked list while values are stored in a vector.","B. Keys must be unique identifiers mapped to specific values, which can be duplicated.","Each key serves as a unique handle for a value; while two keys might point to the same value, no two keys can be identical."
"15","Which method from the 'LinkedList' class is used to retrieve the first element without removing it?","removeFirst()","getFirst()","top()","peekEnd()","B. getFirst()","This method fetches the element at the head of the list while leaving the list structure intact."
"16","What occurs when a constructor is not explicitly defined within a Java class?","The class cannot be instantiated using the 'new' keyword.","The Java compiler automatically generates a default, no-argument constructor.","The program will crash at runtime when an object of that class is accessed.","All instance variables remain unallocated in memory.","B. The Java compiler automatically generates a default, no-argument constructor.","Java provides a default constructor to initialize member variables to their default values (e.g., 0 or null) if the programmer writes none."
"17","Why would a programmer define a 'parameterized' constructor?","To prevent other classes from creating objects of that type.","To initialize different objects with specific, custom values upon creation.","To allow the class to be inherited by multiple sub-classes.","To increase the speed of the Garbage Collector.","B. To initialize different objects with specific, custom values upon creation.","Parameterized constructors allow you to pass arguments during the 'new' call to set the initial state of the object."
"18","Which keyword is used to establish an inheritance relationship between two classes?","implements","extends","inherits","super","B. extends","In Java, 'extends' allows a child class to inherit the fields and methods of a parent class."
"19","What is 'Method Overloading' in Java?","Providing a new implementation for a method that already exists in the parent class.","Defining multiple methods with the same name but different parameter lists within the same class.","Assigning a new value to a static variable inside a method.","Creating a method that calls itself until a condition is met.","B. Defining multiple methods with the same name but different parameter lists within the same class.","Overloading allows one method name to perform different tasks based on the number or type of inputs provided."
"20","Which statement correctly describes 'Runtime Polymorphism'?","It is achieved through method overloading resolved at compile-time.","It is achieved through method overriding where the JVM determines the method to execute at runtime based on the object type.","It allows a class to implement multiple interfaces simultaneously.","It refers to the ability of a variable to change its primitive type during execution.","B. It is achieved through method overriding where the JVM determines the method to execute at runtime based on the object type.","Also known as Dynamic Method Dispatch, the actual object being pointed to determines which version of a method runs."
"21","What happens when a method is declared as 'abstract'?","The method must be static and cannot be overridden.","The method has no implementation (body) and must be implemented by a non-abstract sub-class.","The method is hidden from all other classes in the same package.","The method automatically returns a null value if not called correctly.","B. The method has no implementation (body) and must be implemented by a non-abstract sub-class.","An abstract method acts as a placeholder or contract that forces sub-classes to provide the specific details."
"22","How can a developer achieve multiple inheritance-like functionality in Java?","By using the 'extends' keyword with multiple class names separated by commas.","By implementing multiple interfaces in a single class.","By nesting one class inside another to inherit private members.","By declaring all classes as 'static' within a package.","B. By implementing multiple interfaces in a single class.","While a class can only have one parent class, it can fulfill the contracts of many different interfaces."
"23","What is the primary purpose of the 'finally' block in exception handling?","To catch any exceptions that were missed by the previous 'catch' blocks.","To execute important code (like closing resources) regardless of whether an exception occurred or was caught.","To re-run the 'try' block until it completes without an error.","To translate the exception into a user-friendly string message.","B. To execute important code (like closing resources) regardless of whether an exception occurred or was caught.","The 'finally' block is guaranteed to run after try/catch, making it ideal for cleanup tasks."
"24","Which class is utilized to read user input or content from a file line-by-line?","FileWriter","Scanner","FileStreamer","InputMap","B. Scanner","The Scanner class (from java.util) is versatile for parsing both keyboard input and text from file objects."
"25","In Regular Expressions, what does the quantifier '+' signify?","Zero or one occurrences of the preceding character.","One or more occurrences of the preceding character.","Exactly one occurrence of any digit.","Zero or more occurrences of the preceding character.","B. One or more occurrences of the preceding character.","The '+' quantifier indicates that the pattern must appear at least once."
"26","What is the difference between 'Thread' and 'Runnable' in Java multithreading?","Thread is an interface, while Runnable is an abstract class.","Extending 'Thread' prevents a class from inheriting from another class, while implementing 'Runnable' allows it.","Runnable contains the 'start()' method, whereas Thread does not.","Threads are for background tasks only, while Runnable is for foreground tasks.","B. Extending 'Thread' prevents a class from inheriting from another class, while implementing 'Runnable' allows it.","Because Java doesn't support multiple class inheritance, implementing an interface is more flexible than extending a class."
"27","Which keyword allows a child class to explicitly access a method or constructor from its immediate parent class?","this","parent","super","base","C. super","The 'super' keyword acts as a reference to the super-class, used for accessing hidden or overridden members."
"28","What is 'Recursion' in programming?","A process where a method calls itself to solve a smaller version of the same problem.","A loop that iterates a fixed number of times based on an array length.","A way to automatically clean up memory using the JVM.","The ability to define different parameters for methods with the same name.","A. A process where a method calls itself to solve a smaller version of the same problem.","Recursion involves breaking a problem down into sub-problems solved by the same logic internally."
"29","How are elements stored and accessed in a two-dimensional array?","Using a single index to find the average of a table.","Using row and column indices, where the first index represents the row and the second represents the column.","In a random order where the JVM decides the best location for speed.","By converting all data into a single string of bits.","B. Using row and column indices, where the first index represents the row and the second represents the column.","Standard 2D array syntax is array[row][column], allowing access to specific grid cells."
"30","What does the 'ordinal()' method return when called on an Enum constant?","The string name of the constant exactly as it was declared.","The position (index) of the constant in its enum declaration, starting at 0.","The memory address where the enum is stored.","The total number of items available in the entire Enum set.","B. The position (index) of the constant in its enum declaration, starting at 0.","Ordinal refers to order; it returns an integer representing the constant's place in the list."
"31","Which operator is used to check if two values are NOT equal in Java?","<>","!=","!=","NOT=","B. !=","The exclamation mark (!) is the logical NOT, and when combined with equal (=), it checks for inequality."
"32","What is the result of the bitwise AND (&) operation between binary 110 (6) and 111 (7)?","111 (7)","110 (6)","001 (1)","000 (0)","B. 110 (6)","AND only returns 1 if both corresponding bits are 1. Comparing bit-by-bit: 1&1=1, 1&1=1, 0&1=0, resulting in 110."
"33","In the context of packages, how do you include all classes from the 'java.util' package into your file?","include java.util.all;","import java.util.*;","package java.util.*;","using java.util;","B. import java.util.*;","The asterisk (*) acts as a wildcard, importing all public classes and interfaces from the specified package."
"34","What is the specific purpose of the 'continue' statement in a loop?","To exit the loop entirely and move to the next section of code.","To skip the current iteration and move immediately to the next one.","To restart the entire loop from the very first iteration.","To pause the execution for a set number of seconds.","B. To skip the current iteration and move immediately to the next one.","The 'continue' statement stops the current pass through the loop and jumps back to the start for the next cycle."
"35","Which bitwise operator shifts bits to the left and fills the new places with zero?","Right shift (>>)","Left shift (<<)","Unsigned Right Shift (>>>)","NOT (∼)","B. Left shift (<<)","The left shift moves bits to higher values and adds zeros to the low-order bits."
"36","What is 'Encapsulation' often represented by in Java classes?","The use of 'extends' to inherit features.","Grouping variables (attributes) and methods (behaviors) into a single unit called a class.","The ability of an object to take many forms at runtime.","Allowing the compiler to automatically clean up memory.","B. Grouping variables (attributes) and methods (behaviors) into a single unit called a class.","Encapsulation focuses on keeping data and the code that manipulates it together in one place."
"37","Which of these is a 'Non-Primitive' data type in Java?","int","double","Array","boolean","C. Array","Arrays are considered objects in Java and are therefore non-primitive; they store references rather than values directly."
"38","What happens if a child class provides a new implementation for a method that was already defined in the parent class with the same signature?","Method Overloading","Method Overriding","Method Recursion","Method Encapsulation","B. Method Overriding","Overriding allows a sub-class to provide a specific behavior for a method inherited from a super-class."
"39","In Regular Expressions, which meta-character is used to match any single digit from 0 to 9?","..","\d","\w","\s","B. \d","The sequence 'd' is the standard meta-character representing numerical digits in regex."
"40","Which method is used to remove an item from a 'HashMap' by providing its key?","delete()","remove()","discard()","clear()","B. remove()","The remove method takes the key as an argument and deletes the corresponding entry from the map."
"41","When defining a user-defined package, where should the 'package' keyword be placed in the code file?","At the very end of the class file.","As the first line of the code, before any imports or class definitions.","Inside the main method for local scoping.","Directly before the definition of each instance variable.","B. As the first line of the code, before any imports or class definitions.","The package statement establishes the namespace for the entire file and must appear first."
"42","Which of the following is true about Java's 'Vector' collection?","It is faster than ArrayList because it is not synchronized.","It is a synchronized, thread-safe dynamic array.","It is preferred over ArrayList in modern Java development for all scenarios.","Its size must be fixed and declared at compile time.","B. It is a synchronized, thread-safe dynamic array.","The primary distinction of Vector is its built-in synchronization, allowing multiple threads to access it safely without external management."
"43","What is the result of using the 'new' keyword with an abstract class?","A standard object of that abstract type is created successfully.","The compiler throws an error because abstract classes cannot be instantiated directly.","The JVM creates a 'default' version of the class with null methods.","The program crashes only if an abstract method is called.","B. The compiler throws an error because abstract classes cannot be instantiated directly.","By definition, an abstract class is for inheritance; you must create an object of its non-abstract child class instead."
"44","Which method from the 'File' class is used to create a new, empty file on the hard drive?","makeFile()","createNewFile()","generateFile()","touch()","B. createNewFile()","This method attempts to create a new file and returns true if it was successful and false if the file already exists."
"45","What is the return type of a 'Constructor' in Java?","void","Constructors do not have a return type.","int","The same as the class name.","B. Constructors do not have a return type.","A unique rule for constructors is that they lack any return type, not even void; their sole job is to initialize the object."
"46","How can you access the number of elements in an ArrayList object?","length","size()","capacity()","count()","B. size()","The size() method returns the current count of elements stored within any Collection framework object."
"47","In a try-multiple catch block, what is the correct order for the catch blocks?","The broadest exception (like 'Exception') should be caught first.","Specific exceptions must be caught before more general ones (the base class).","The order does not matter as Java automatically jumps to the best match.","Only one catch block is allowed per try block regardless of complexity.","B. Specific exceptions must be caught before more general ones (the base class).","Java checks catch blocks in order; a general catch will 'swallow' errors meant for a specialized handler if it appears first."
"48","Which keyword is used to explicitly throw an exception from a method?","throws","throw","raise","error","B. throw","The 'throw' keyword is an action statement used to instantiate and propagate an exception object manually."
"49","What is the binary result of shifting 0110 (6) to the right by one position (6 >> 1)?","1100 (12)","0011 (3)","0111 (7)","0000 (0)","B. 0011 (3)","Shifting right by 1 bit effectively divides the number by 2 (dropping the remainder). 0110 becomes 0011."
"50","What happens when you use the '+' operator with two String variables?","The numerical values of the character codes are added together.","The strings are joined together (concatenated) into a new single string.","The compiler throws an error because '+' only works for numbers.","The shorter string is repeated until it matches the length of the longer one.","B. The strings are joined together (concatenated) into a new single string.","Java overloads the '+' operator for Strings to simplify joining them."
